id,nome,interesse,marketing_ia
979,Helena Almeida,Fundos Imobiliários (FIIs),Erro na geração
980,Vitor Martins,Ações e Bolsa de Valores,Erro na geração
981,Tatiana Souza,Previdência Privada,Erro na geração
982,Gabriel Araujo,Financiamento de Imóveis,Erro na geração
983,Nicolas Ferreira,Ações e Bolsa de Valores,Erro na geração
984,Lucas Silva,Ações e Bolsa de Valores,Erro na geração
985,Fernanda Silva,Previdência Privada,Erro na geração
986,Ana Rodrigues,Fundos Imobiliários (FIIs),Erro na geração
987,Yasmin Rodrigues,Previdência Privada,Erro na geração
988,Fernanda Rodrigues,Seguro de Vida,Erro na geração
989,Gabriel Lima,Ações e Bolsa de Valores,Erro na geração
990,Julia Almeida,Day Trade,Erro na geração
991,Daniela Martins,Cartão de Crédito Black,Erro na geração
992,Tatiana Lima,Seguro de Vida,Erro na geração
993,Carlos Silva,Criptomoedas,Erro na geração
994,Ana Costa,Financiamento de Imóveis,Erro na geração
995,Olivia Silva,Day Trade,Erro na geração
996,Samuel Oliveira,Reserva de Emergência,Erro na geração
997,Nicolas Costa,Cartão de Crédito Black,Erro na geração
998,Tatiana Araujo,Fundos Imobiliários (FIIs),Erro na geração
999,Yasmin Gomes,Seguro de Vida,Erro na geração
1000,Pedro Santos,Ações e Bolsa de Valores,Erro na geração
